DATE,DNDGRG3M086SBEA
2002-04-01,74.8760000000000000
2002-07-01,75.0853333333333333
2002-10-01,75.3503333333333333
2003-01-01,76.6096666666666667
2003-04-01,75.4260000000000000
2003-07-01,76.4706666666666667
2003-10-01,76.8006666666666667
2004-01-01,77.8440000000000000
2004-04-01,78.5796666666666667
2004-07-01,79.0296666666666667
2004-10-01,80.4276666666666667
2005-01-01,80.2953333333333333
2005-04-01,80.8250000000000000
2005-07-01,83.3146666666666667
2005-10-01,83.5550000000000000
2006-01-01,83.6426666666666667
2006-04-01,84.8640000000000000
2006-07-01,85.8430000000000000
2006-10-01,83.8613333333333333
2007-01-01,85.0276666666666667
2007-04-01,86.6906666666666667
2007-07-01,87.2993333333333333
2007-10-01,89.1470000000000000
2008-01-01,90.6613333333333333
2008-04-01,92.6493333333333333
